model,c1,c2,severity,drop_c1,drop_c2,drop_combined,expected_additive,interaction,interaction_type
ViT-B-32,motion_blur,brightness,5,0.701,0.262,0.718,0.963,-0.245,subadditive
ViT-B-32,motion_blur,contrast,5,0.701,0.625,0.737,1.326,-0.5890000000000001,subadditive
ViT-B-32,motion_blur,shot_noise,5,0.701,0.737,0.744,1.438,-0.694,subadditive
ViT-B-32,fog,jpeg_compression,5,0.679,0.676,0.74,1.355,-0.615,subadditive
ViT-B-32,fog,brightness,5,0.679,0.262,0.657,0.9410000000000001,-0.28400000000000003,subadditive
ViT-B-32,fog,contrast,5,0.679,0.625,0.738,1.304,-0.5660000000000001,subadditive
ViT-B-32,fog,shot_noise,5,0.679,0.737,0.745,1.416,-0.6709999999999999,subadditive
ViT-B-32,jpeg_compression,brightness,5,0.676,0.262,0.69,0.9380000000000001,-0.2480000000000001,subadditive
ViT-B-32,jpeg_compression,contrast,5,0.676,0.625,0.717,1.3010000000000002,-0.5840000000000002,subadditive
ViT-B-32,jpeg_compression,shot_noise,5,0.676,0.737,0.741,1.413,-0.672,subadditive
ViT-B-32,brightness,contrast,5,0.262,0.625,0.66,0.887,-0.22699999999999998,subadditive
ViT-B-32,brightness,shot_noise,5,0.262,0.737,0.738,0.999,-0.261,subadditive
ViT-B-32,contrast,shot_noise,5,0.625,0.737,0.743,1.362,-0.6190000000000001,subadditive
ViT-B-16,gaussian_noise,motion_blur,1,0.447,0.37400000000000005,0.671,0.8210000000000001,-0.15000000000000002,subadditive
ViT-B-16,gaussian_noise,fog,1,0.447,0.22799999999999998,0.6160000000000001,0.675,-0.05899999999999994,subadditive
ViT-B-16,gaussian_noise,jpeg_compression,1,0.447,0.509,0.559,0.956,-0.3969999999999999,subadditive
ViT-B-16,gaussian_noise,brightness,1,0.447,0.02400000000000002,0.5050000000000001,0.47100000000000003,0.034000000000000086,superadditive
ViT-B-16,gaussian_noise,contrast,1,0.447,0.121,0.48100000000000004,0.5680000000000001,-0.08700000000000002,subadditive
ViT-B-16,gaussian_noise,shot_noise,1,0.447,0.5030000000000001,0.605,0.9500000000000002,-0.3450000000000002,subadditive
ViT-B-16,motion_blur,fog,1,0.37400000000000005,0.22799999999999998,0.621,0.6020000000000001,0.018999999999999906,superadditive
ViT-B-16,motion_blur,jpeg_compression,1,0.37400000000000005,0.509,0.645,0.883,-0.238,subadditive
ViT-B-16,motion_blur,brightness,1,0.37400000000000005,0.02400000000000002,0.38000000000000006,0.3980000000000001,-0.018000000000000016,subadditive
ViT-B-16,motion_blur,contrast,1,0.37400000000000005,0.121,0.522,0.49500000000000005,0.02699999999999997,superadditive
